Symbol,Raw Rows,Processed Rows,Reduction (%),Raw Start,Raw End,Proc Start,Proc End,Raw Missing,Proc Missing,Volume OK
360ONE,125833,1694,98.65,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
3MINDIA,193214,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
AADHARHFC,23729,318,98.66,2024-05-15,2025-08-26,2024-05-15,2025-08-26,0,0,✅
AARTIIND,193542,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
AAVAS,126169,1691,98.66,2018-10-08,2025-08-26,2018-10-08,2025-08-26,0,0,✅
ABB,193556,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ABBOTINDIA,193321,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ABCAPITAL,146328,1960,98.66,2017-09-01,2025-08-26,2017-09-01,2025-08-26,0,0,✅
ABFRL,193549,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ABREL,193558,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ABSLAMC,71109,953,98.66,2021-10-11,2025-08-26,2021-10-11,2025-08-26,0,0,✅
ACC,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ACE,193519,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ACMESOLAR,14472,193,98.67,2024-11-13,2025-08-26,2024-11-13,2025-08-26,0,0,✅
ADANIENSOL,184321,2469,98.66,2015-07-31,2025-08-26,2015-07-31,2025-08-26,0,0,✅
ADANIENT,193554,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ADANIGREEN,131840,1766,98.66,2018-06-18,2025-08-26,2018-06-18,2025-08-26,0,0,✅
ADANIPORTS,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ADANIPOWER,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
AEGISLOG,188380,2523,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
AFCONS,14996,200,98.67,2024-11-04,2025-08-26,2024-11-04,2025-08-26,0,0,✅
AFFLE,118990,1594,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
AIAENG,193459,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
AIIL,24852,333,98.66,2024-04-23,2025-08-26,2024-04-23,2025-08-26,0,0,✅
AJANTPHARM,193561,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
AKUMS,19508,261,98.66,2024-08-06,2025-08-26,2024-08-06,2025-08-26,0,0,✅
ALIVUS,74515,1004,98.65,2018-04-06,2025-08-26,2018-04-06,2025-08-26,0,0,✅
ALKEM,177186,2373,98.66,2015-12-23,2025-08-26,2015-12-23,2025-08-26,0,0,✅
ALKYLAMINE,190180,2592,98.64,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ALOKINDS,101294,1357,98.66,2020-02-19,2025-08-26,2020-02-19,2025-08-26,0,0,✅
AMBER,138675,1859,98.66,2018-01-30,2025-08-26,2018-01-30,2025-08-26,0,0,✅
AMBUJACEM,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ANANDRATHI,68007,911,98.66,2021-12-14,2025-08-26,2021-12-14,2025-08-26,0,0,✅
ANANTRAJ,193382,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ANGELONE,96484,1327,98.62,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
APARINDS,192470,2592,98.65,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
APLAPOLLO,193227,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
APLLTD,193538,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
APOLLOHOSP,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
APOLLOTYRE,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
APTUS,73584,986,98.66,2021-08-24,2025-08-26,2021-08-24,2025-08-26,0,0,✅
ARE&M,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ASAHIINDIA,192058,2592,98.65,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ASHOKLEY,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ASIANPAINT,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ASTERDM,137373,1841,98.66,2018-02-26,2025-08-26,2018-02-26,2025-08-26,0,0,✅
ASTRAL,193431,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ASTRAZEN,193295,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
ATGL,124790,1672,98.66,2018-11-05,2025-08-26,2018-11-05,2025-08-26,0,0,✅
ATUL,193507,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
AUBANK,149064,1997,98.66,2017-07-10,2025-08-26,2017-07-10,2025-08-26,0,0,✅
AUROPHARMA,193564,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
AWL,65452,882,98.65,2015-12-21,2025-08-26,2015-12-21,2025-08-26,0,0,✅
AXISBANK,193564,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BAJAJ-AUTO,193564,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BAJAJFINSV,193564,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BAJAJHFL,17483,234,98.66,2024-09-16,2025-08-26,2024-09-16,2025-08-26,0,0,✅
BAJAJHLDNG,193517,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BAJFINANCE,193564,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BALKRISIND,193506,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BALRAMCHIN,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BANDHANBNK,135967,1821,98.66,2018-03-27,2025-08-26,2018-03-27,2025-08-26,0,0,✅
BANKBARODA,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BANKINDIA,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BASF,193381,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BATAINDIA,193564,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BAYERCROP,193159,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BBTC,193554,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BDL,136099,1823,98.66,2018-03-23,2025-08-26,2018-03-23,2025-08-26,0,0,✅
BEL,193564,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BEML,193558,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BERGEPAINT,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BHARATFORG,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BHARTIARTL,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BHARTIHEXA,25304,339,98.66,2024-04-12,2025-08-26,2024-04-12,2025-08-26,0,0,✅
BHEL,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BIKAJI,51062,684,98.66,2022-11-16,2025-08-26,2022-11-16,2025-08-26,0,0,✅
BIOCON,193564,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BLS,166875,2259,98.65,2016-06-15,2025-08-26,2016-06-15,2025-08-26,0,0,✅
BLUEDART,193138,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BLUESTARCO,193492,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BOSCHLTD,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BPCL,193563,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BRIGADE,193441,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BRITANNIA,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
BSE,156863,2101,98.66,2017-02-03,2025-08-26,2017-02-03,2025-08-26,0,0,✅
BSOFT,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
CAMPUS,60748,814,98.66,2022-05-09,2025-08-26,2022-05-09,2025-08-26,0,0,✅
CAMS,89770,1203,98.66,2020-10-05,2025-08-26,2020-10-05,2025-08-26,0,0,✅
CANBK,193564,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
CANFINHOME,193562,2592,98.66,2015-02-02,2025-08-26,2015-02-02,2025-08-26,0,0,✅
